year,title,authors,venue,pdf_url,pdf_file,size_bytes
2025,Triangle: Empowering Incident Triage with Multi-Agent,"Zhaoyang Yu, Aoyang Fang, Minghua Ma*, Jaskaran Singh Walia, Chaoyun Zhang, Shu Chi , Zei, Murali Chintalapati, Xuchao Zhang, Rujia Wang, Chetan Bansal, Saravan Raimohan, Qingwei Lin, Shenglin Zhang, Dan Pei, Pinjia He Conference on Automated Software Engineering (ASE), Sun 16 &#8211; Thu 20 November 2025, Seoul, South Korea, 2025",(CCF A),https://profile.aoyangfang.top/assets/publications/ase25/ASE_triangle.pdf,ASE_triangle.pdf,1441244
2025,Too Many Cooks: Assessing the Need for Multi-Source Data in Microservice Failure Diagnosis.,"Shenglin Zhang, Xiaoyu Feng, Runzhou Wang, Minghua Ma, Wenwei Gu, Yongqian Sun*, Zedong Jia, Jinrui Sun and Dan Pei","In 2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE), São Paulo, Brazil, October 21-24, 2025",https://netman.aiops.org/wp-content/uploads/2025/09/Xiaoyu__Empirical_Study_on_Multi_source_Failure_Diagnosis.pdf,Xiaoyu__Empirical_Study_on_Multi_source_Failure_Diagnosis.pdf,1474266
2025,TechSupportEval: An Automated Evaluation Framework for Technical Support Question Answering.,"Bohan Chen, Yongqian Sun*, Yuhe Liu, Longlong Xu, Zhe Xie, Changhua Pei, Jing Han, Fan Ni, Xuhui Cai, Ce Yang, Dan Pei","IJCNN 2025, Rome, Italy, June 30-July 5, 2025 (TH-CPL B, CCF C)",https://netman.aiops.org/wp-content/uploads/2025/09/TechSupportEval.pdf,TechSupportEval.pdf,359206
2025,TShape: Rescuing Machine Learning Models from Complex Shapelet Anomalies,"Hang Cui, Jingjing Li, Haotian Si, Quan Zhou, Changhua Pei, Gaogang Xie, Dan Pei",In 2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE 2025),https://netman.aiops.org/wp-content/uploads/2026/04/2510.00680v1.pdf,2510.00680v1.pdf,699035
2025,LogEval: A Comprehensive Benchmark Suite for LLMs in Log Analysis.,"Tianyu Cui, Shiyu Ma, Ziang Chen, Tong Xiao, ChenYu Zhao, Shimin Tao, Yilun Liu, Shenglin Zhang*, Duoming Lin, Changchang Liu, Yuzhe Cai, Weibin Meng, Yongqian Sun, Dan Pei",Empirical Software Engineering.(CCF B),https://netman.aiops.org/wp-content/uploads/2025/09/LogEval.pdf,LogEval.pdf,1506417
2025,Integrating GraphSAGE and Mamba for Self-Supervised Spatio-Temporal Fault Detection in Microservice Systems.,"Shenglin Zhang, Yingke Li, Jianjin Tang, Chenyu Zhao, Wenwei Gu, Yongqian Sun* and Dan Pei","In 2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE), São Paulo, Brazil, October 21-24, 2025",https://netman.aiops.org/wp-content/uploads/2025/09/Integrating_GraphSAGE_and_Mamba_for_Self-Supervised_Spatio-Temporal_Fault_Detection_in_Microservice_Systems.pdf,Integrating_GraphSAGE_and_Mamba_for_Self-Supervised_Spatio-Temporal_Fault_Detection_in_Microservice_Systems.pdf,1075210
2025,DeST: An Unsupervised Decoupled Spatio-Temporal Framework for Microservice Incident Management.,"Xiaohui Nie, Hang Cui, Changhua Pei*, Haotian Si, Ke Xiang, Jingjing Li, Yanbiao Li, Gaogang Xie,and Dan Pei","In 2025 IEEE 36th International Symposium on Software Reliability Engineering (ISSRE), São Paulo, Brazil, October 21-24,2025 (CCF B)",https://netman.aiops.org/wp-content/uploads/2025/11/DeST_CameraReady.pdf,DeST_CameraReady.pdf,3222273
2025,Dan Pei*,FSE 2025,"Trondheim, Norway, Jun",https://netman.aiops.org/wp-content/uploads/2025/04/OpsEval_FSE_0421.pdf,OpsEval_FSE_0421.pdf,1492854
2025,Dan Pei,,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining, Toronto, Canada, August 3-7, 2025 (CCF-A)",https://netman.aiops.org/wp-content/uploads/2025/05/KDD25-FlowXpert.pdf,KDD25-FlowXpert.pdf,1538058
2025,Dan Pei,", Zhengwei Gao, HanJing","ICML 2025, Vancouver, Canada, July 13–19",https://netman.aiops.org/wp-content/uploads/2025/05/2411.00278v1.pdf,2411.00278v1.pdf,1566361
2025,Dan Pei,", Gaogang Xie, Jianhui Li","ICML 2025, Vancouver, Canada, July 13–19",https://netman.aiops.org/wp-content/uploads/2026/04/2505.19090v1.pdf,2505.19090v1.pdf,4204883
2025,Dan Pei,,FSE 2025,https://netman.aiops.org/wp-content/uploads/2026/04/3696630.3728547.pdf,3696630.3728547.pdf,742255
2025,Dan Pei,", Pinjia He, Dongmei Zhang, Qi Zhang ICLR 2025, The Thirteenth International Conference on Learning Representations","Singapore EXPO, Thu Apr 24 – Mon Apr 28th, 2025(CCF A)",https://netman.aiops.org/wp-content/uploads/2025/05/13411_OpenRCA_Can_Large_Langua.pdf,13411_OpenRCA_Can_Large_Langua.pdf,1110745
2025,Dan Pei,,"IEEE Software Analysis, Evolution and Reengineering (SANER), Tue 4 &#8211; Fri 7 March 2025 Montréal, Québec, Canada,2025 (CCF-B) 2024:",https://netman.aiops.org/wp-content/uploads/2026/04/AIOpsArena.pdf,AIOpsArena.pdf,620331
2025,ChatTS: Aligning Time Series with LLMs via Synthetic Data for Enhanced Understanding and Reasoning,"Zhe Xie, Zeyan Li, Xiao He, Longlong Xu, Xidao Wen, Tieying Zhang*, Jianjun Chen, Rui Shi, and Dan Pei*","Proceedings of the VLDB Endowment (VLDB), Volume 18, 2025",https://netman.aiops.org/wp-content/uploads/2025/05/VLDB_2025_Camera_Ready-1.pdf,VLDB_2025_Camera_Ready-1.pdf,2805077
